Name,Date,Buy Cash,Buy Spot,Sell Cash,Sell Spot
AUD,2024-04-01,20.4,20.76,21.25,20.96
AUD,2024-04-02,20.45,20.74,21.23,20.94
AUD,2024-04-03,20.47,20.76,21.25,20.96
AUD,2024-04-08,20.74,21.03,21.52,21.23
AUD,2024-04-09,20.81,21.1,21.59,21.3
AUD,2024-04-10,20.82,21.11,21.6,21.31
AUD,2024-04-11,20.65,20.94,21.43,21.14
AUD,2024-04-12,20.66,20.95,21.44,21.15
AUD,2024-04-15,20.6,20.89,21.38,21.09
AUD,2024-04-16,20.46,20.75,21.24,20.95
AUD,2024-04-17,20.5,20.685,21.25,21.03
AUD,2024-04-18,20.49,20.78,21.27,20.98
AUD,2024-04-19,20.51,20.725,21.29,21.07
AUD,2024-04-20,20.48,20.695,21.26,21.04
AUD,2024-04-22,20.59,20.805,21.37,21.15
AUD,2024-04-23,20.62,20.91,21.4,21.11
AUD,2024-04-24,20.77,21.06,21.55,21.26
AUD,2024-04-25,20.86,21.15,21.64,21.35
AUD,2024-04-26,20.9,21.19,21.68,21.39
