幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,32.23500,32.56000,32.56000,32.46600,32.34300,32.22800,32.10500,31.98500,31.86300,本行賣出,32.90500,32.71000,32.66700,32.57900,32.46800,32.36400,32.25500,32.14500,32.03300,
HKD,本行買入,4.00900,4.13000,4.13100,4.12400,4.11300,4.10200,4.09000,4.07900,4.06700,本行賣出,4.21300,4.20000,4.19200,4.18600,4.17600,4.16400,4.15400,4.14400,4.13400,
GBP,本行買入,39.15000,40.04500,40.13800,40.03500,39.89600,39.77100,39.63400,39.49800,39.36100,本行賣出,41.27000,40.67500,40.55400,40.48100,40.34600,40.21700,40.10000,39.98400,39.86700,
AUD,本行買入,20.59000,20.80500,20.86000,20.81900,20.76200,20.71100,20.65400,20.59500,20.53500,本行賣出,21.37000,21.15000,21.06500,21.03400,20.97900,20.92600,20.87700,20.82500,20.77300,
CAD,本行買入,23.27000,23.60000,23.64400,23.59100,23.51700,23.45000,23.37600,23.30200,23.22800,本行賣出,24.18000,23.93000,23.84900,23.80700,23.73500,23.66600,23.60200,23.53800,23.47400,
SGD,本行買入,23.38000,23.85000,23.86300,23.82800,23.78800,23.71900,23.66600,23.61400,23.56100,本行賣出,24.29000,24.07000,24.05200,24.03600,23.99700,23.92800,23.88500,23.84300,23.80100,
CHF,本行買入,35.02000,35.63000,35.71200,35.69700,35.68700,35.68500,35.67500,35.66500,35.65500,本行賣出,36.22000,36.02000,35.97500,35.98600,35.98500,35.98800,35.99700,36.00700,36.01600,
JPY,本行買入,0.20180,0.20860,0.20910,0.20920,0.20940,0.20960,0.20980,0.20990,0.21010,本行賣出,0.21460,0.21360,0.21320,0.21340,0.21370,0.21390,0.21420,0.21450,0.21470,
ZAR,本行買入,0.00000,1.66200,1.66300,1.65600,1.64600,1.63600,1.62500,1.61500,1.60400,本行賣出,0.00000,1.75200,1.74400,1.73900,1.72800,1.71800,1.70800,1.69800,1.68900,
SEK,本行買入,2.60000,2.93000,2.93700,2.93100,2.92300,2.91700,2.91100,2.90400,2.89800,本行賣出,3.12000,3.05000,3.03900,3.03600,3.03000,3.02400,3.01800,3.01200,3.00700,
NZD,本行買入,18.79000,19.12000,19.16600,19.11800,19.05000,18.98700,18.91800,18.84900,18.78000,本行賣出,19.64000,19.42000,19.37100,19.33300,19.26600,19.20200,19.14000,19.07800,19.01600,
THB,本行買入,0.75400,0.86340,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.94400,0.90940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.50130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.63330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,33.95000,34.46500,34.57200,34.51500,34.42400,34.34500,34.26800,34.19100,34.06400,本行賣出,35.29000,35.06500,34.97600,34.92800,34.84700,34.79900,34.74000,34.68000,34.61900,
KRW,本行買入,0.02191,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02581,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00104,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,5.78300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.30300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.40400,4.47100,4.46980,4.45950,4.44730,4.43860,4.43000,4.41750,4.41260,本行賣出,4.56600,4.53100,4.52110,4.51330,4.50300,4.49700,4.49180,4.48650,4.48120,
